original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Extended-Release Capsule,extended-release capsule,,,,
Opthalmic Solution (Eye Drops),opthalmic solution eye drops,,,,
Nasal Spray Suspension,nasal spray suspension,,,,
Solution for Injection (IM/SC/IV),solution for injection im sc iv,for injection im sc iv,"['im', 'sc', 'iv']",['injection'],
Ophthalmic Sterile Suspension (Eye Drops),ophthalmic sterile suspension eye drops,,,,
"Solution for Injection 
(IM/IV)",solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for Injection (I.M./I.v.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lyophilized Powder for Intravenous Infusion,lyophilized powder for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Orally Disintegrating Tablet,orally disintegrating tablet,,,,
Gel for Instillation,gel for instillation,for instillation,[],[],
Solution for (Intrathecal/Intravascular) Injection,solution for intrathecal intravascular injection,for intrathecal intravascular injection,"['intravascular', 'intrathecal']",['injection'],
Granules for Nasal Irrigation,granules for nasal irrigation,for nasal irrigation,['nasal'],[],
Delayed-Release Granules,delayed-release granules,,,,
Powder For Solution For Iv Infusion,powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Rectal Suspension,rectal suspension,,,,
Oral Jelly (Orange Flavor),oral jelly orange flavor,,,,
Actuation Powder for Inhalation,actuation powder for inhalation,for inhalation,[],['inhalation'],
Powder For Solution For Injection (IV),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Lyophilized Powder for Solution for IV Infusion,lyophilized powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Effervescent Tablet (Orange Flavor),effervescent tablet orange flavor,,,,
Oral Suspension (Orange Flavor),oral suspension orange flavor,,,,
Lyophilized Powder for IV Injection/Infusion,lyophilized powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
"Solution for Oral 
Inhalation",solution for oral inhalation,for oral inhalation,['oral'],['inhalation'],
"Syrup (Pediatric) (Strawberry-Cherry 
Flavor)",syrup pediatric strawberry-cherry flavor,,,,
"Inhalation Aerosol 
(Pressurized Suspension for Inhalation)",inhalation aerosol pressurized suspension for inhalation,for inhalation,[],['inhalation'],
Lyophilized Powder for Solution for Injection (IV Infusion),lyophilized powder for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Lyophilized Powder for Concentrate for Solution for I.V. Infusion,lyophilized powder for concentrate for solution for iv infusion,for concentrate for solution for iv infusion,['iv'],['infusion'],concentrate
Suspension for Injection (Intra-articular/Intradermal),suspension for injection intra-articular intradermal,for injection intra-articular intradermal,"['intra-articular', 'intradermal']",['injection'],
Powder for IV Injection,powder for iv injection,for iv injection,['iv'],['injection'],
Powder for Solution for Infusion,powder for solution for infusion,for solution for infusion,[],['infusion'],solution
Concentrated Solution for I.V. Infusion,concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
per Capsule,per capsule,,,,
Metered Dose Inhaler (CFC Free) (200 doses),metered dose inhaler cfc free doses,,,,
Powder Solution for IV Injection,powder solution for iv injection,for iv injection,['iv'],['injection'],
Oral Syrup,oral syrup,,,,
Metered Dose Inhaler (CFC Free) (120 doses),metered dose inhaler cfc free doses,,,,
Suspension Metered Dose Inhaler,suspension metered dose inhaler,,,,
Emulsion for I.V. Infusion,emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
Powder for Injection (IV/IM),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Powder for Solution for Injection (Intrathecal IM / IV),powder for solution for injection intrathecal im iv,for solution for injection intrathecal im iv,"['im', 'iv', 'intrathecal']",['injection'],solution
Vaginal Film-Coated Tablet,vaginal film-coated tablet,,,,
powder for injection,powder for injection,for injection,[],['injection'],
Lozenge (Honey and Lemon Flavor),lozenge honey and lemon flavor,,,,
Topical Aerosol Spray Solution,topical aerosol spray solution,,,,
Topical solution,topical solution,,,,
Concentrate Solution fro Infusion,concentrate solution fro infusion,,,,
Solution for Injection (Spinal),solution for injection spinal,for injection spinal,['spinal'],['injection'],
ORAL SUSPENSION,oral suspension,,,,
Concentrate Solution for Infusion (IV),concentrate solution for infusion iv,for infusion iv,['iv'],['infusion'],
Lyophilized Powder for Extended-Release  Suspension for Injection in Pre-filled Dual Chamber Syringe (IM),lyophilized powder for extended-release suspension for injection in pre-filled dual chamber syringe im,for extended-release suspension for injection in pre-filled dual chamber syringe im,"['im', 'dual']","['injection', 'suspension']",suspension
Suspension (Shampoo),suspension shampoo,,,,
Powder for Solution for Injection (IV/IM),powder for solution for injection iv im,for solution for injection iv im,"['im', 'iv']",['injection'],solution
Solution for inhalation,solution for inhalation,for inhalation,[],['inhalation'],
Powder and Solvent for Suspension for Injection (IM),powder and solvent for suspension for injection im,for suspension for injection im,['im'],"['injection', 'suspension']",suspension
Concentrate for Solution for Injection,concentrate for solution for injection,for solution for injection,[],['injection'],solution
Powder for Solution for Injection/Infusion (IV),powder for solution for injection infusion iv,for solution for injection infusion iv,['iv'],"['infusion', 'injection']",solution
Powder for Solution for Injection / Infusion,powder for solution for injection infusion,for solution for injection infusion,[],"['infusion', 'injection']",solution
Vaginal Cream,vaginal cream,,,,
Concentrate For Injection (IV/Intravesical),concentrate for injection iv intravesical,for injection iv intravesical,"['intravesical', 'iv']",['injection'],
Ophthalmic emulsion,ophthalmic emulsion,,,,
Solution for Injection/Infusion (IV),solution for injection infusion iv,for injection infusion iv,['iv'],"['infusion', 'injection']",
Timed-Release Tablet,timed-release tablet,,,,
Emulsion for Injection/Infusion (IV),emulsion for injection infusion iv,for injection infusion iv,['iv'],"['infusion', 'injection']",
"Actuation Metered Dose Inhaler 
(CFC Free) (200 doses)",actuation metered dose inhaler cfc free doses,,,,
Suspension for Injection (I.V.),suspension for injection iv,for injection iv,['iv'],['injection'],
Prefilled Syringe Injection (IM/IV),prefilled syringe injection im iv,,,,
Lyophilized Powder For Solution For Injection (Sc/Iv),lyophilized powder for solution for injection sc iv,for solution for injection sc iv,"['sc', 'iv']",['injection'],solution
"Sterile Ophthalmic Solution 
(Eye Drops)",sterile ophthalmic solution eye drops,,,,
Syrup (Plum-flavored),syrup plum-flavored,,,,
Powder For Suspension ( Oral Drops),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Soft-Gel Capsule,soft-gel capsule,,,,
liquid injection,liquid injection,,,,
Solution for Haemofiltration,solution for haemofiltration,for haemofiltration,[],[],
Monitored Release Tablet,monitored release tablet,,,,
Liposomal Concentrate,liposomal concentrate,,,,
Sterile Ophthalmic Ointment : Anti-infective / Corticosteroid,sterile ophthalmic ointment anti-infective corticosteroid,,,,
Sterile Ophthalmic Solution (Eye Drops,sterile ophthalmic solution eye drops,,,,
Solution for Nasal Spray,solution for nasal spray,for nasal spray,['nasal'],[],spray
Sterile Solution for IV Injection,sterile solution for iv injection,for iv injection,['iv'],['injection'],
Solution For Inj,solution for inj,for inj,[],['inj'],
STERILE EYE DROPS,sterile eye drops,,,,
Solution for Nebulization,solution for nebulization,for nebulization,[],[],
Solution for Infusion I.V.,solution for infusion iv,for infusion iv,['iv'],['infusion'],
Syrup (Berry Flavor),syrup berry flavor,,,,
Syrup (Melon Flavor),syrup melon flavor,,,,
Powder For Injection Im/Iv,powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Topical Spray,topical spray,,,,
Monitored-Release Film-Coated Tablet,monitored-release film-coated tablet,,,,
INJECTION,injection,,,,
Concentrate Solution for Injection for Intravenous Infusion,concentrate solution for injection for intravenous infusion,for injection for intravenous infusion,['intravenous'],"['infusion', 'injection']",
Film-coated Tablet /,film-coated tablet,,,,
Lyophilized Powder For Infusion (Iv),lyophilized powder for infusion iv,for infusion iv,['iv'],['infusion'],
Injection Solution For Iv Infusion,injection solution for iv infusion,for iv infusion,['iv'],['infusion'],
,[],,,,
Pediatric Drops,pediatric drops,,,,
Solution for haemofiltration,solution for haemofiltration,for haemofiltration,[],[],
Chewable Tablet (Orange Flavor),chewable tablet orange flavor,,,,
"Chewable Tablet 
(Tutti Fruitti Flavor)",chewable tablet tutti fruitti flavor,,,,
Saline Solution For Nasal Spray,saline solution for nasal spray,for nasal spray,['nasal'],[],spray
Film Coated Tablet; Film Coated Tablet,film coated tablet film coated tablet,,,,
Powder For Injection for I.V. Infusion,powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder for Infusion (IV),lyophilized powder for infusion iv,for infusion iv,['iv'],['infusion'],
Prefilled Syringe (Iv),prefilled syringe iv,,,,
Lyophilized mass for injection,lyophilized mass for injection,for injection,[],['injection'],
Concentrate Solution for Infusion,concentrate solution for infusion,for infusion,[],['infusion'],
Concentrate solution for infusion,concentrate solution for infusion,for infusion,[],['infusion'],
Lozenge (Raspberry Flavor),lozenge raspberry flavor,,,,
Dialysis Solution (Intraperitoneal),dialysis solution intraperitoneal,,,,
"Concentrate Solution for IV Infusion 
(albumin-free Concentrate for Nanodispersion)",concentrate solution for iv infusion albumin-free concentrate for nanodispersion,for iv infusion albumin-free concentrate for nanodispersion,['iv'],['infusion'],concentrate
Concentrate Solution For Iv Infusion (formulated as albumin-bound nanoparticles),concentrate solution for iv infusion formulated as albumin-bound nanoparticles,for iv infusion formulated as albumin-bound nanoparticles,['iv'],['infusion'],
Sugar-coated Tablet,sugar-coated tablet,,,,
Solution for Injection (IV. Infusion/.IM),solution for injection iv infusion im,for injection iv infusion im,"['im', 'iv']","['infusion', 'injection']",
Medicated Chewing Gum (Mint Flavor),medicated chewing gum mint flavor,,,,
Syrup (Pediatric Drops) Grape Flavor,syrup pediatric drops grape flavor,,,,
Concentrate Solution for IV. Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution for Infusion (IV/IM),solution for infusion iv im,for infusion iv im,"['im', 'iv']",['infusion'],
Emulsion For Intravenous ( IV Infusion),emulsion for intravenous iv infusion,for intravenous iv infusion,"['intravenous', 'iv']",['infusion'],
Lyophlized Powder for IV Infusion,lyophlized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Effervescent Tablet (Mango Orange Tablet),effervescent tablet mango orange tablet,,,,
Vaginal Suppositories,vaginal suppositories,,,,
Dry Powder For Injection (IM/IV),dry powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Opthalmic Solution (eye Drops),opthalmic solution eye drops,,,,
Prolonged-Release Hard Capsule,prolonged-release hard capsule,,,,
Prolonged-Release Suspension for Injection (IM),prolonged-release suspension for injection im,for injection im,['im'],['injection'],
Solution for Injection  (IM/IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lozenge (Orange Flavor),lozenge orange flavor,,,,
Lozenge (Honey Lemon Flavor),lozenge honey lemon flavor,,,,
Solution for (IV) Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Topical Emulsion Gel,topical emulsion gel,,,,
Solution for Injection or Concentrate for Solution for Infusion (I.V./I.M.),solution for injection or concentrate for solution for infusion iv im,for injection or concentrate for solution for infusion iv im,"['im', 'iv']","['infusion', 'injection']",concentrate
Solution For Injection IV. Infusion,solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder For Concentrate For IV Infusion,powder for concentrate for iv infusion,for concentrate for iv infusion,['iv'],['infusion'],concentrate
Suspension (Berry Flavor),suspension berry flavor,,,,
lotion,lotion,,,,
"Pressurized Metered Dose Inhaler 
(CFC Free)",pressurized metered dose inhaler cfc free,,,,
Pressurized Metered Dose Inhaler,pressurized metered dose inhaler,,,,
"Lyophilized Powder for Concentrate Solution 
for IV Infusion",lyophilized powder for concentrate solution for iv infusion,for concentrate solution for iv infusion,['iv'],['infusion'],concentrate
Chewable Tablet (Mixed Berries Flavor),chewable tablet mixed berries flavor,,,,
Suspension ofr Nebulization,suspension ofr nebulization,,,,
Pre-metered Dose Dry Powder for  Inhalation,pre-metered dose dry powder for inhalation,for inhalation,[],['inhalation'],
Liquid of Inhalation,liquid of inhalation,,,,
Lyophilized Powder for Injection IV Infusion,lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Sterile Aqueous Suspension for Injection (IM),sterile aqueous suspension for injection im,for injection im,['im'],['injection'],
Powder For Injection (I.V./ I. M.),powder for injection iv i m,for injection iv i m,['iv'],['injection'],
Suspension Nasal Spray,suspension nasal spray,,,,
Suspension for Nasal Spray,suspension for nasal spray,for nasal spray,['nasal'],[],spray
Extended Release Capsule,extended release capsule,,,,
Soft Capsule,soft capsule,,,,
Medicated Chewing Gum,medicated chewing gum,,,,
Solution For Injection (I.M./1.V.),solution for injection im v,for injection im v,['im'],['injection'],
Film-coated tablets,film-coated tablets,,,,
(Oral Drops) (Cherry Flavor),oral drops cherry flavor,,,,
Lyophilized Powder For I.V  Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder For Reconstitution,lyophilized powder for reconstitution,for reconstitution,[],[],
"Emulsion for Injection 
(I.V./Infusion)",emulsion for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder for Nanosomal Lipid Suspension for IV Infusion,lyophilized powder for nanosomal lipid suspension for iv infusion,for nanosomal lipid suspension for iv infusion,"['iv', 'nanosomal']","['infusion', 'suspension']",suspension
Syrup (Tutti-Frutti Flavor),syrup tutti-frutti flavor,,,,
Lozenge (Strawberry Flavor),lozenge strawberry flavor,,,,
Lyophilized Powder Solution for IV Infusion,lyophilized powder solution for iv infusion,for iv infusion,['iv'],['infusion'],
"Pegylated Liposomal Concentrate 
Suspension for Solution for Injection for I.V. 
Infusion",pegylated liposomal concentrate suspension for solution for injection for iv infusion,for solution for injection for iv infusion,['iv'],"['infusion', 'injection']",solution
Solution for Infusion (IV) and Injection (IM/IV,solution for infusion iv and injection im iv,for infusion iv and injection im iv,"['im', 'iv']","['injection', 'infusion']",
"Concentrate Solution for 
Injection (IM/IV)",concentrate solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Oral Solution (Orange Flavor),oral solution orange flavor,,,,
"100 mcg/6 mcg/12.5 mcg per actuation Metered Dose 
Inhaler",mcg mcg mcg per actuation metered dose inhaler,,,,
"Nasal Suspension 
(Spray)",nasal suspension spray,,,,
Syrup (Lemon Flavor),syrup lemon flavor,,,,
Suspension (Oral Drops) (Orange Flavor),suspension oral drops orange flavor,,,,
Nasal Suspension,nasal suspension,,,,
"Pre 
metered Dose Dry Powder for Inhalation",pre metered dose dry powder for inhalation,for inhalation,[],['inhalation'],
Emulsion Gel,emulsion gel,,,,
Suspension (orange flavor),suspension orange flavor,,,,
Chewable Tablet (orange flavor),chewable tablet orange flavor,,,,
Capsule (Equivalent to 726.39mg Calcium Ascorbate),capsule equivalent to mg calcium ascorbate,,,,
Otic Solution(Ear Drops Solution),otic solutionear drops solution,,,,
Oral Solution (Tutti Frutti Flavor),oral solution tutti frutti flavor,,,,
Lyophilized Powder For Injection (IV/IM),lyophilized powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
"Sterile Ophthalmic Solution 
(Drops)",sterile ophthalmic solution drops,,,,
"Concentrate for Solution for 
Intravenous Infusion",concentrate for solution for intravenous infusion,for solution for intravenous infusion,['intravenous'],['infusion'],solution
"Concentrate for Solution 
for Intravenous Infusion",concentrate for solution for intravenous infusion,for solution for intravenous infusion,['intravenous'],['infusion'],solution
"Syrup (Oral Drops) 
(Cherry-Orange Flavor)",syrup oral drops cherry-orange flavor,,,,
TOPICAL CREAM,topical cream,,,,
"Solution for Injection 
(I.M.)",solution for injection im,for injection im,['im'],['injection'],
Syrup (Banana Flavor),syrup banana flavor,,,,
Concentrate Solution For Intravenous Infusion,concentrate solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Lyophilized Powder For Injection (I.M./S.C.),lyophilized powder for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Pressurized Liquid for Inhalation,pressurized liquid for inhalation,for inhalation,[],['inhalation'],
"Lyophilized Powder for Concentrate for 
Solution for I.V. Infusion",lyophilized powder for concentrate for solution for iv infusion,for concentrate for solution for iv infusion,['iv'],['infusion'],concentrate
"Pressurized 
Liquid for Inhalation",pressurized liquid for inhalation,for inhalation,[],['inhalation'],
Solution for Peritoneal Dialysis,solution for peritoneal dialysis,for peritoneal dialysis,['peritoneal'],[],
"Oral Suspension (Banana and Peppermint 
Flavor)",oral suspension banana and peppermint flavor,,,,
"Ophthalmic Solution (Eye 
Drops)",ophthalmic solution eye drops,,,,
"Solution for Injection 
(I.V./I.M.)",solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
"Solution 
for Injection (IV Infusion)",solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Suspension for Nebulization,suspension for nebulization,for nebulization,[],[],
"Capsule* 
[*Rosuvastatin film-coated tablet enclosed in a hard 
gelatin capsule with the Clopidogrel powder blend]",capsule rosuvastatin film-coated tablet enclosed in a hard gelatin capsule with the clopidogrel powder blend,,,,
"Solution 
for I.V. Infusion",solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution for Injection/Infusion (I.M./I.V.),solution for injection infusion im iv,for injection infusion im iv,"['im', 'iv']","['infusion', 'injection']",
Lyophilized Powder For Solution For I.V Injection,lyophilized powder for solution for iv injection,for solution for iv injection,['iv'],['injection'],solution
"Dipeptidyl peptidase 4 (DPP-4) inhibitor/ Oral 
Hypoglycemic (Biguanide)",dipeptidyl peptidase dpp- inhibitor oral hypoglycemic biguanide,,,,
Sustained-Release Tablets,sustained-release tablets,,,,
Solution (Toothache Drops),solution toothache drops,,,,
"Sterile Solution for 
1.V. Injection",sterile solution for v injection,for v injection,[],['injection'],
Plaster,plaster,,,,
Film-Coated Tablet (200 mg Daily Dose),film-coated tablet mg daily dose,,,,
Concentrate Solution for IV Infusion : Antineoplastic,concentrate solution for iv infusion antineoplastic,for iv infusion antineoplastic,"['antineoplastic', 'iv']",['infusion'],
Metered Dose Inhaler (200 Actuation),metered dose inhaler actuation,,,,
Solution For Infusion (IV),solution for infusion iv,for infusion iv,['iv'],['infusion'],
Lozenges (Berry Menthol Flavor),lozenges berry menthol flavor,,,,
Syrup (Oral Drops) (Orange Flavor),syrup oral drops orange flavor,,,,
Concentrate for Solution for I.V. Infusion,concentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
"Lozenge (Orange Menthol 
Flavor)",lozenge orange menthol flavor,,,,
Lozenges,lozenges,,,,
"Suspension 
(Menthol Flavor)",suspension menthol flavor,,,,
Powder for Infusion (IV),powder for infusion iv,for infusion iv,['iv'],['infusion'],
Lyophilized Powder for Injection (IV/Intravesical),lyophilized powder for injection iv intravesical,for injection iv intravesical,"['intravesical', 'iv']",['injection'],
"Oral 
Solution (Drops) [Lemon and Peppermint Flavor]",oral solution drops lemon and peppermint flavor,,,,
Film- Coated Tablets,film- coated tablets,,,,
Lozenge (Purple Grape Flavor),lozenge purple grape flavor,,,,
Solution for I.V. Infusion (I. V.),solution for iv infusion i v,for iv infusion i v,['iv'],['infusion'],
Lyophilized Powder For I.V. Injection &amp; Infusion,lyophilized powder for iv injection amp infusion,for iv injection amp infusion,['iv'],"['infusion', 'injection']",
Granules for Solution (Orange Flavor),granules for solution orange flavor,for solution orange flavor,[],[],solution
Syrup (Tuttii-Frutti Flavor),syrup tuttii-frutti flavor,,,,
Solution for Hemodialysis and Hemofiltration,solution for hemodialysis and hemofiltration,for hemodialysis and hemofiltration,[],[],
"Solution for Injection 
(IV Infusion)",solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for injection (IV),powder for injection iv,for injection iv,['iv'],['injection'],
Gastro-Resistant Tablet,gastro-resistant tablet,,,,
Lyophilized Powder For Injection (I.V Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
"Solution for Injection (IV 
Infusion)",solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder for I.V. Injection,lyophilized powder for iv injection,for iv injection,['iv'],['injection'],
"Lyophilized Powder for Solution for I.V. 
Infusion",lyophilized powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Tablet (Strawberry Flavor),tablet strawberry flavor,,,,
Peritoneal Dialysis Solution,peritoneal dialysis solution,,,,
Lyophilized Powder for Intravenous Injection/ Infusion,lyophilized powder for intravenous injection infusion,for intravenous injection infusion,['intravenous'],"['infusion', 'injection']",
Lyophilization Powder For Injection (IM/IV),lyophilization powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Lozenge (Honey Lemon 
Menthol Flavor)",lozenge honey lemon menthol flavor,,,,
"Lozenge (Berry Menthol 
Flavor)",lozenge berry menthol flavor,,,,
Lyophilized Powder for Injection (S.C./1.V.),lyophilized powder for injection sc v,for injection sc v,['sc'],['injection'],
"Lyophilized Powder for Injection (1.V. 
Infusion)",lyophilized powder for injection v infusion,for injection v infusion,[],"['infusion', 'injection']",
Concentrate For Solution For Infusion,concentrate for solution for infusion,for solution for infusion,[],['infusion'],solution
"Dialysis Solution 
(Intraperitoneal)",dialysis solution intraperitoneal,,,,
Solutiuon for Intravenous Infusion,solutiuon for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Suspension pressurized Metered Dose Inhaler,suspension pressurized metered dose inhaler,,,,
Solution Metered Dose Inhaler,solution metered dose inhaler,,,,
Topical cream,topical cream,,,,
Syrup (Blackcurrant Flavor),syrup blackcurrant flavor,,,,
Lyophilized Powder for Intravenous (I.V.) Infusion,lyophilized powder for intravenous iv infusion,for intravenous iv infusion,"['intravenous', 'iv']",['infusion'],
Lyophilized Powder for Injection (I.V./S.C.),lyophilized powder for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
"Solution for Injection (1. M./1.V.) or 
Concentrate for Solution for I. V. Infusion",solution for injection m v or concentrate for solution for i v infusion,for injection m v or concentrate for solution for i v infusion,[],"['infusion', 'injection']",concentrate
Lyophilized Powder For Injection (I.V/S.C),lyophilized powder for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Dialysis Solution for Intraperitoneal,dialysis solution for intraperitoneal,for intraperitoneal,['intraperitoneal'],[],
"Oral Solution 
(Ginger Lemon Flavor)",oral solution ginger lemon flavor,,,,
"Solution for Injection/Infusion 
(I.M./I.V.)",solution for injection infusion im iv,for injection infusion im iv,"['im', 'iv']","['infusion', 'injection']",
Lyophilized Powder for Solution for Injection or Infusion (IV),lyophilized powder for solution for injection or infusion iv,for solution for injection or infusion iv,['iv'],"['infusion', 'injection']",solution
Capsule [contains one (1) Film-Coated Tadalafil and Tamsulosin HCl pellets],capsule contains one film-coated tadalafil and tamsulosin hcl pellets,,,,
Oral Drops (Orange Flavor),oral drops orange flavor,,,,
Film Coated Table,film coated table,,,,
"Solution 
for Injection (IV)",solution for injection iv,for injection iv,['iv'],['injection'],
Ophthalmic Drop,ophthalmic drop,,,,
Solution for Injection (I.M),solution for injection im,for injection im,['im'],['injection'],
Sterile Ophthalmic Solution (eye Drops),sterile ophthalmic solution eye drops,,,,
Sterile Aqueous Suspension For Injection (Im),sterile aqueous suspension for injection im,for injection im,['im'],['injection'],
Intraocular Solution,intraocular solution,,,,
Liquid (Topical Solution),liquid topical solution,,,,
Solution with moisturizer,solution with moisturizer,,,,
Eye drops,eye drops,,,,
Liniment,liniment,,,,
Syrup ( Oral Drops ),syrup oral drops,,,,
Liquid Form,liquid form,,,,
Soap,soap,,,,
Timed Release Tablet,timed release tablet,,,,
Liniment Oil,liniment oil,,,,
70% Solution,solution,,,,
Ointment Stick,ointment stick,,,,
Spray,spray,,,,
Suspension (Oral Drops) [Orange Sugar Free],suspension oral drops orange sugar free,,,,
Topical Balm,topical balm,,,,
SOLUTION,solution,,,,
Syrup (Pediatric Drops),syrup pediatric drops,,,,
Chewable Capsule,chewable capsule,,,,
Tincture,tincture,,,,
Oil Liniment,oil liniment,,,,
Patch,patch,,,,
LIQUID,liquid,,,,
Gargle Solution,gargle solution,,,,
Cleansing Solution,cleansing solution,,,,
Syrup (oral drops),syrup oral drops,,,,
Suspension (Drops),suspension drops,,,,
Gargle and Mouthwash,gargle and mouthwash,,,,
Suspension (Orange),suspension orange,,,,
Suspension (Strawberry),suspension strawberry,,,,
Vapor Rub Ointment,vapor rub ointment,,,,
Solution With Moisturizer,solution with moisturizer,,,,
Solution (Feminine Wash),solution feminine wash,,,,
Tube,tube,,,,
Liniment Cream,liniment cream,,,,
Topical Aerosol,topical aerosol,,,,
Aerosol Spray,aerosol spray,,,,
Powder For Oral Soultion,powder for oral soultion,for oral soultion,['oral'],[],
"Solution, topical",solution topical,,,,
Skin Cleanser Solution,skin cleanser solution,,,,
CHEWABLE TABLET,chewable tablet,,,,
Liquid Formulation,liquid formulation,,,,
Cleansing Solution (Feminine Wash),cleansing solution feminine wash,,,,
Oromucosal solution (throat spray),oromucosal solution throat spray,,,,
Suspension for Oral Drops (Orange Flavor),suspension for oral drops orange flavor,for oral drops orange flavor,['oral'],[],drops
Oral Suspension (Berry Flavor),oral suspension berry flavor,,,,
Suspension for Oral Drops (Berry Flavor),suspension for oral drops berry flavor,for oral drops berry flavor,['oral'],[],drops
Suspension for Oral Drops (Melon Flavor),suspension for oral drops melon flavor,for oral drops melon flavor,['oral'],[],drops
Dry Powder Spray,dry powder spray,,,,
Lozenge (Lemon Flavor),lozenge lemon flavor,,,,
Lozenge (Lemon Flavor) (For Export Only),lozenge lemon flavor for export only,for export only,[],[],
Lozenge (Orange Flavor) (For Export Only),lozenge orange flavor for export only,for export only,[],[],
Lozenge (Citrus Flavor) (For Export Only),lozenge citrus flavor for export only,for export only,[],[],
Topical Solution (Skin Cleanser),topical solution skin cleanser,,,,
Alcohol,alcohol,,,,
Liniment (Roll On),liniment roll on,,,,
Oil,oil,,,,
Granules For Solution (Melon Flavor),granules for solution melon flavor,for solution melon flavor,[],[],solution
Sterile Solution,sterile solution,,,,
Syrup (Oral Drops) Melon Flavor,syrup oral drops melon flavor,,,,
Syrup (Oral Drops) Berry Flavor,syrup oral drops berry flavor,,,,
Topical,topical,,,,
Rubbing Solution,rubbing solution,,,,
Granules for Solution (Strawberry Flavor),granules for solution strawberry flavor,for solution strawberry flavor,[],[],solution
Granules for Solution (Grape Flavor),granules for solution grape flavor,for solution grape flavor,[],[],solution
Granules for Solution (Apple Flavor),granules for solution apple flavor,for solution apple flavor,[],[],solution
Cutaneous Solution,cutaneous solution,,,,
Tropical Protectant,tropical protectant,,,,
Vaporizing Ointment,vaporizing ointment,,,,
Medicated Patch,medicated patch,,,,
Collapsible Plastic Tube,collapsible plastic tube,,,,
Oinment Stick,oinment stick,,,,
Toothache Drop,toothache drop,,,,
Skin Cleanser,skin cleanser,,,,
Lozenge (Menthol Eucalyptus Flavor),lozenge menthol eucalyptus flavor,,,,
(equivalent to 562.50mg Sodium Acorbate),equivalent to mg sodium acorbate,,,,
Oral Solution (Gargle),oral solution gargle,,,,
Liniment(Lavender Scent),linimentlavender scent,,,,
"Oral Solution 
(Peppermint Flavor)",oral solution peppermint flavor,,,,
Topical Solution (Cucumber Green Tea Scent),topical solution cucumber green tea scent,,,,
Powder,powder,,,,
Oil For Inhalation,oil for inhalation,for inhalation,[],['inhalation'],
Each 100Ml Contains: Methyl Salicylate …………. 60% Mineral Oil ……………… 40%,each ml contains methyl salicylate mineral oil,,,,
Topical Solution with Moisturizer (Scented),topical solution with moisturizer scented,,,,
Solution with Moisturizer,solution with moisturizer,,,,
Lozenge (Spearmint Flavor),lozenge spearmint flavor,,,,
Lozenge (Honey &amp; Lemon Flavor),lozenge honey amp lemon flavor,,,,
"Liniment 
(Lemon Scent)",liniment lemon scent,,,,
