original,tokenized,drug_format
Lyophilized Powder Fro Inectin (Iv),lyophilized powder fro inectin iv,powder
Solution For Injection (Iv/ Intraarterial/Intrathecal ),solution for injection iv intraarterial intrathecal,solution
Prolonged Release Tablet,prolonged release tablet,tablet
Hard Gelatin Capsule,hard gelatin capsule,capsule
Inhalation Powder In Hard Capsule,inhalation powder in hard capsule,powder
intravenous injection,intravenous injection,
ORAL TABLET,oral tablet,tablet
Concentrate Solution For Injection (Iv Infusion),concentrate solution for injection iv infusion,concentrate
Concentrated Solution For Injection (I.V.),concentrated solution for injection iv,solution
Transdermal Gel,transdermal gel,
Tablet -Film Coated,tablet -film coated,tablet
Opthalmic Ointment,opthalmic ointment,ointment
Over-the-Counter (OTC),over-the-counter otc,
Ointment Tulle Dressing,ointment tulle dressing,ointment
Solution For Inejction,solution for inejction,solution
Concentrated Solution For Injection (Iv),concentrated solution for injection iv,solution
Dry Powder for Inhalation,dry powder for inhalation,powder
Syrup Equivalent To 10 Mg Elemental Zinc),syrup equivalent to mg elemental zinc,syrup
Metered Dose Inhalation,metered dose inhalation,inhaler
Sustained Release Sterile Rod-Shaped Implant For Ophthalmic Intravitreal Injection,sustained release sterile rod-shaped implant for ophthalmic intravitreal injection,suspension
Dry Powder Inhalation Capsule,dry powder inhalation capsule,powder
Orodispersable Tablet,orodispersable tablet,tablet
Sterile Otic Drops,sterile otic drops,drops
Powder for Solution for Injection (1.V.),powder for solution for injection v,powder
"Tablet, dispersible",tablet dispersible,tablet
Oral Granules,oral granules,granules
Powder For Iv Injection (IV),powder for iv injection iv,powder
Topical Soln. (Mouth Paint),topical soln mouth paint,solution
Sol'N For Injection (Iv),soln for injection iv,solution
Rectal Solution (Enema),rectal solution enema,solution
Solution for injection (IM),solution for injection im,solution
Modified Release Film-Coated Tablet,modified release film-coated tablet,tablet
Suspension ; Syrup,suspension syrup,suspension
Intravenous Injection,intravenous injection,
sachet Gastro-Resistant Prolonged Release Granules,sachet gastro-resistant prolonged release granules,granules
Powder for Injection (I.V),powder for injection iv,powder
Prolonged-Release Capsule,prolonged-release capsule,capsule
Power for Suspension,power for suspension,powder
Powder For Injeciton (I.V.),powder for injeciton iv,powder
Softgel Capsule For Vaginal Use,softgel capsule for vaginal use,capsule
Lyophilized Powder For Intravenous Infusion,lyophilized powder for intravenous infusion,powder
Lyophilized Powder for Solution for IV Injection,lyophilized powder for solution for iv injection,powder
Vial Solution,vial solution,solution
Syrup (Infant Drops),syrup infant drops,syrup
Concentrate For Solution For Injection (Iv Infusion),concentrate for solution for injection iv infusion,concentrate
"Capsule, soft gelatin",capsule soft gelatin,capsule
Emulsion For Injection (Iv),emulsion for injection iv,emulsion
Lyophilized Powder For Prolonged-Release Suspension for Injection,lyophilized powder for prolonged-release suspension for injection,powder
Topical Spray Solution,topical spray solution,solution
Solution For Injection (Local Infiltration),solution for injection local infiltration,solution
Lyophilized Solution for Injection (S.C.),lyophilized solution for injection sc,solution
Modified-Released Tablet,modified-released tablet,tablet
Emulsion For Intravenous  Infusion (IV),emulsion for intravenous infusion iv,emulsion
Lyophilized Powder for Intravenous Injection,lyophilized powder for intravenous injection,powder
Powder For Reconstitution,powder for reconstitution,powder
Lyophilized Powder For Injection (Im/Iv),lyophilized powder for injection im iv,powder
Suspension; Syrup; Suspension,suspension syrup suspension,suspension
Lyophilized Powder for IV Infusion for injection,lyophilized powder for iv infusion for injection,powder
Powder for Inhalation in Hard Capsule,powder for inhalation in hard capsule,powder
Caspule,caspule,
Nasal Solution,nasal solution,solution
Solution for injection (IV),solution for injection iv,solution
Lyophilized Powder for Injection (IM / IV),lyophilized powder for injection im iv,powder
Powder for Hemodialysis Solutiion,powder for hemodialysis solutiion,powder
Metered Dose Inhaler (Suspension),metered dose inhaler suspension,suspension
Delayed-Release Tablet,delayed-release tablet,tablet
Powder for Injection(IM/IV),powder for injectionim iv,powder
Extended- Release Tablet,extended- release tablet,tablet
Pressurized Metered Dose for Inhalation,pressurized metered dose for inhalation,inhaler
Powder For Solution For Injection (Im/Iv),powder for solution for injection im iv,powder
"Capsule, extended release",capsule extended release,capsule
POWDER FOR INJECTION (I.V),powder for injection iv,powder
For Intraperitoneal Administration Only,for intraperitoneal administration only,
Solution For Injection (I.V./I.M./S.C.),solution for injection iv im sc,solution
Pre-Metered Dose Dry Powder For Inhalation,pre-metered dose dry powder for inhalation,powder
Solution For Im Injection,solution for im injection,solution
Solution For Iv/Im Injection,solution for iv im injection,solution
Lyophilized Powder for Injection (I.M./S.C.),lyophilized powder for injection im sc,powder
Lyophilized Powder For Injection (IM/SC),lyophilized powder for injection im sc,powder
Concentrate Solution for lIntravenous Infusion,concentrate solution for lintravenous infusion,concentrate
"Pressurized Suspension 
for Inhalation",pressurized suspension for inhalation,suspension
Modified Release Capsule,modified release capsule,capsule
Powder for Intravenous Infusion,powder for intravenous infusion,powder
Solution For Injection (for I.M Use Only),solution for injection for im use only,solution
"Powder for Suspension (see reverse for 
formulation)",powder for suspension see reverse for formulation,powder
Admixture Solutions for Peripheral Infusion,admixture solutions for peripheral infusion,solution
Powder For Injection (IV/IM),powder for injection iv im,powder
Suspension/Suspension/Syrup,suspension suspension syrup,suspension
FILM-COATED TABLET,film-coated tablet,tablet
Solution for Injection (I.V. Infusion),solution for injection iv infusion,solution
Solutio For Injection (IV Infusion),solutio for injection iv infusion,
Solution For Injection (Spinal),solution for injection spinal,solution
Vaginal Supository,vaginal supository,suppository
Soft Gel Capsule For Vaginal Use,soft gel capsule for vaginal use,capsule
Dry Powder For Inhalation (In Capsule),dry powder for inhalation in capsule,powder
Metered Dose Inhaler (suspension),metered dose inhaler suspension,suspension
Ophthalmic/Otic Solution (Drops),ophthalmic otic solution drops,solution
Puff Solution for Inhalation,puff solution for inhalation,solution
Solution for IV Injection/Infusion,solution for iv injection infusion,solution
Solution For Intravenous  Infusion,solution for intravenous infusion,solution
Powder for Injection (IV Infusion),powder for injection iv infusion,powder
Solution For Injection (Im/Sc/Iv),solution for injection im sc iv,solution
Powder for Solution for Injection (IV/SC),powder for solution for injection iv sc,powder
Powder For Inj. (Iv/Im),powder for inj iv im,powder
Solution For Injection (Iv/Im),solution for injection iv im,solution
"Tablet, delayed release",tablet delayed release,tablet
Cervical Gel,cervical gel,
"Suspension, oral",suspension oral,suspension
"Tablet, modified release",tablet modified release,tablet
"Tablet, enteric coated",tablet enteric coated,tablet
Lyophilized Powder for Injection (I.V. Infusion),lyophilized powder for injection iv infusion,powder
Emulsion For Injection,emulsion for injection,emulsion
"Solution, ophthalmic (Eye Drops)",solution ophthalmic eye drops,solution
Lyophilized Powder For Concentrate For Solution For IV Infusion,lyophilized powder for concentrate for solution for iv infusion,powder
Metered Dose Inhaler(CFC-FREE),metered dose inhalercfc-free,inhaler
solution for injection,solution for injection,solution
Solution for Injection (Intravenous/Intrathecal),solution for injection intravenous intrathecal,solution
Solution for injection (Intravenous/Intraarterial),solution for injection intravenous intraarterial,solution
Oral Soft-gel Capsule,oral soft-gel capsule,capsule
Vaginal Soft-gel Capsule,vaginal soft-gel capsule,capsule
Vaginal Soft-Gel Capsule,vaginal soft-gel capsule,capsule
Powder For Solution For Injection (Iv),powder for solution for injection iv,powder
Pre-metered Dose Dry Powder for Inhalation,pre-metered dose dry powder for inhalation,powder
Suppository (Pediatric),suppository pediatric,suppository
Oral Jelly,oral jelly,jelly
Powder For Inj.,powder for inj,powder
Powder for Suspension for Injection (SC),powder for suspension for injection sc,powder
Solution for Injection (Oromucosal),solution for injection oromucosal,solution
Solution For Injection (Oromucosal),solution for injection oromucosal,solution
Enteric-coated tablet,enteric-coated tablet,tablet
Gargle,gargle,gargle
Vaginal Softgel Capsule,vaginal softgel capsule,capsule
chewable tablet,chewable tablet,tablet
Solution For Injection (Intravenous Infusion),solution for injection intravenous infusion,solution
Solution for Injection (I.M./I.V./S.C.),solution for injection im iv sc,solution
Powder For Solution For Injection (IM/IV),powder for solution for injection im iv,powder
Lyophilized powder for IV/IM injection,lyophilized powder for iv im injection,powder
Lyophilized Powder for Injection/Infusion (I.V.),lyophilized powder for injection infusion iv,powder
Solution Metered Dose Nasal Spray,solution metered dose nasal spray,solution
Film-Coated Tablet (eq. to sacubitril 24.3 mg and valsartan 25.7 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,tablet
Film-Coated Tablet (eq. to sacubitril 48.6 mg and valsartan 51.4 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,tablet
Film-Coated Tablet (eq. to sacubitril 97.2 mg and valsartan 102.8 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,tablet
Solution for Injection(IM/IV),solution for injectionim iv,solution
Nasal Drops,nasal drops,drops
Lyophilized Powder for Injection (for I.V. Infusion),lyophilized powder for injection for iv infusion,powder
Enteric coated Tablet,enteric coated tablet,tablet
Prolonged-Release Solution for Injection (Deep S.C.),prolonged-release solution for injection deep sc,solution
Conc. For Sol For injection Iv,conc for sol for injection iv,concentrate
Solution for (Intravascular/Intra-arterial) Injection (equivalent to 350 mg Iodine/mL),solution for intravascular intra-arterial injection equivalent to mg iodine ml,solution
Lyophilzed Powder for Injection (IM/IV/SC),lyophilzed powder for injection im iv sc,powder
Solution for injection (Intravenous/Intra-arterial/Intrathecal),solution for injection intravenous intra-arterial intrathecal,solution
Effervecsent Tablet,effervecsent tablet,tablet
Rectal Solution,rectal solution,solution
Solution For IV Solution,solution for iv solution,solution
Oral suspension,oral suspension,suspension
Solution for Injection (I.M. / I.V.),solution for injection im iv,solution
Powder for Concentrate for Solution for I.V. Infusion,powder for concentrate for solution for iv infusion,powder
Concentrate for Oral/Rectal Suspension,concentrate for oral rectal suspension,concentrate
Solution For Infusion (IV Infusion),solution for infusion iv infusion,solution
Lyophilized Powder For Concentrate For Solution For Iv Infusion,lyophilized powder for concentrate for solution for iv infusion,powder
Lyophilized Powder for Oral Suspension,lyophilized powder for oral suspension,powder
Concentrate Solution For Injection (Iv),concentrate solution for injection iv,concentrate
Powder for Solution for Injection (IM/IV),powder for solution for injection im iv,powder
Otic Solution (Ear Drops),otic solution ear drops,solution
Powder for Solution for Injection (IV),powder for solution for injection iv,powder
Lyophilized Powder for Injection (I.V),lyophilized powder for injection iv,powder
Powder For Injection (I.M/I.V),powder for injection im iv,powder
Extended-Release Capsule,extended-release capsule,capsule
Opthalmic Solution (Eye Drops),opthalmic solution eye drops,solution
Nasal Spray Suspension,nasal spray suspension,suspension
Solution for Injection (IM/SC/IV),solution for injection im sc iv,solution
Ophthalmic Sterile Suspension (Eye Drops),ophthalmic sterile suspension eye drops,suspension
"Solution for Injection 
(IM/IV)",solution for injection im iv,solution
Solution for Injection (I.M./I.v.),solution for injection im iv,solution
Lyophilized Powder for Intravenous Infusion,lyophilized powder for intravenous infusion,powder
Orally Disintegrating Tablet,orally disintegrating tablet,tablet
Gel for Instillation,gel for instillation,
Solution for (Intrathecal/Intravascular) Injection,solution for intrathecal intravascular injection,solution
Granules for Nasal Irrigation,granules for nasal irrigation,granules
Delayed-Release Granules,delayed-release granules,granules
Powder For Solution For Iv Infusion,powder for solution for iv infusion,powder
Rectal Suspension,rectal suspension,suspension
Oral Jelly (Orange Flavor),oral jelly orange flavor,jelly
Actuation Powder for Inhalation,actuation powder for inhalation,powder
Powder For Solution For Injection (IV),powder for solution for injection iv,powder
Lyophilized Powder for Solution for IV Infusion,lyophilized powder for solution for iv infusion,powder
Effervescent Tablet (Orange Flavor),effervescent tablet orange flavor,tablet
Oral Suspension (Orange Flavor),oral suspension orange flavor,suspension
Lyophilized Powder for IV Injection/Infusion,lyophilized powder for iv injection infusion,powder
"Solution for Oral 
Inhalation",solution for oral inhalation,solution
"Syrup (Pediatric) (Strawberry-Cherry 
Flavor)",syrup pediatric strawberry-cherry flavor,syrup
"Inhalation Aerosol 
(Pressurized Suspension for Inhalation)",inhalation aerosol pressurized suspension for inhalation,solution
Lyophilized Powder for Solution for Injection (IV Infusion),lyophilized powder for solution for injection iv infusion,powder
Lyophilized Powder for Concentrate for Solution for I.V. Infusion,lyophilized powder for concentrate for solution for iv infusion,powder
Suspension for Injection (Intra-articular/Intradermal),suspension for injection intra-articular intradermal,suspension
Powder for IV Injection,powder for iv injection,powder
Powder for Solution for Infusion,powder for solution for infusion,powder
Concentrated Solution for I.V. Infusion,concentrated solution for iv infusion,solution
per Capsule,per capsule,capsule
Metered Dose Inhaler (CFC Free) (200 doses),metered dose inhaler cfc free doses,inhaler
Powder Solution for IV Injection,powder solution for iv injection,powder
Oral Syrup,oral syrup,syrup
Metered Dose Inhaler (CFC Free) (120 doses),metered dose inhaler cfc free doses,inhaler
Suspension Metered Dose Inhaler,suspension metered dose inhaler,suspension
Emulsion for I.V. Infusion,emulsion for iv infusion,emulsion
Powder for Injection (IV/IM),powder for injection iv im,powder
Powder for Solution for Injection (Intrathecal IM / IV),powder for solution for injection intrathecal im iv,powder
Vaginal Film-Coated Tablet,vaginal film-coated tablet,tablet
powder for injection,powder for injection,powder
Lozenge (Honey and Lemon Flavor),lozenge honey and lemon flavor,lozenge
Topical Aerosol Spray Solution,topical aerosol spray solution,solution
Topical solution,topical solution,solution
Concentrate Solution fro Infusion,concentrate solution fro infusion,concentrate
Solution for Injection (Spinal),solution for injection spinal,solution
ORAL SUSPENSION,oral suspension,suspension
Concentrate Solution for Infusion (IV),concentrate solution for infusion iv,concentrate
Lyophilized Powder for Extended-Release  Suspension for Injection in Pre-filled Dual Chamber Syringe (IM),lyophilized powder for extended-release suspension for injection in pre-filled dual chamber syringe im,powder
Suspension (Shampoo),suspension shampoo,suspension
Powder for Solution for Injection (IV/IM),powder for solution for injection iv im,powder
Solution for inhalation,solution for inhalation,solution
Powder and Solvent for Suspension for Injection (IM),powder and solvent for suspension for injection im,powder
Concentrate for Solution for Injection,concentrate for solution for injection,concentrate
Powder for Solution for Injection/Infusion (IV),powder for solution for injection infusion iv,powder
Powder for Solution for Injection / Infusion,powder for solution for injection infusion,powder
Vaginal Cream,vaginal cream,cream
Concentrate For Injection (IV/Intravesical),concentrate for injection iv intravesical,concentrate
Ophthalmic emulsion,ophthalmic emulsion,emulsion
Solution for Injection/Infusion (IV),solution for injection infusion iv,solution
Timed-Release Tablet,timed-release tablet,tablet
Emulsion for Injection/Infusion (IV),emulsion for injection infusion iv,emulsion
"Actuation Metered Dose Inhaler 
(CFC Free) (200 doses)",actuation metered dose inhaler cfc free doses,inhaler
Suspension for Injection (I.V.),suspension for injection iv,suspension
Prefilled Syringe Injection (IM/IV),prefilled syringe injection im iv,syringe
Lyophilized Powder For Solution For Injection (Sc/Iv),lyophilized powder for solution for injection sc iv,powder
"Sterile Ophthalmic Solution 
(Eye Drops)",sterile ophthalmic solution eye drops,solution
Syrup (Plum-flavored),syrup plum-flavored,syrup
Powder For Suspension ( Oral Drops),powder for suspension oral drops,powder
Soft-Gel Capsule,soft-gel capsule,capsule
liquid injection,liquid injection,liquid
Solution for Haemofiltration,solution for haemofiltration,solution
Monitored Release Tablet,monitored release tablet,tablet
Liposomal Concentrate,liposomal concentrate,concentrate
Sterile Ophthalmic Ointment : Anti-infective / Corticosteroid,sterile ophthalmic ointment anti-infective corticosteroid,ointment
Sterile Ophthalmic Solution (Eye Drops,sterile ophthalmic solution eye drops,solution
Solution for Nasal Spray,solution for nasal spray,solution
Sterile Solution for IV Injection,sterile solution for iv injection,solution
Solution For Inj,solution for inj,solution
STERILE EYE DROPS,sterile eye drops,drops
Solution for Nebulization,solution for nebulization,solution
Solution for Infusion I.V.,solution for infusion iv,solution
Syrup (Berry Flavor),syrup berry flavor,syrup
Syrup (Melon Flavor),syrup melon flavor,syrup
Powder For Injection Im/Iv,powder for injection im iv,powder
Topical Spray,topical spray,spray
Monitored-Release Film-Coated Tablet,monitored-release film-coated tablet,tablet
INJECTION,injection,
Concentrate Solution for Injection for Intravenous Infusion,concentrate solution for injection for intravenous infusion,concentrate
Film-coated Tablet /,film-coated tablet,tablet
Lyophilized Powder For Infusion (Iv),lyophilized powder for infusion iv,powder
Injection Solution For Iv Infusion,injection solution for iv infusion,solution
,,
Pediatric Drops,pediatric drops,drops
Solution for haemofiltration,solution for haemofiltration,solution
Chewable Tablet (Orange Flavor),chewable tablet orange flavor,tablet
"Chewable Tablet 
(Tutti Fruitti Flavor)",chewable tablet tutti fruitti flavor,tablet
Saline Solution For Nasal Spray,saline solution for nasal spray,solution
Film Coated Tablet; Film Coated Tablet,film coated tablet film coated tablet,tablet
Powder For Injection for I.V. Infusion,powder for injection for iv infusion,powder
Lyophilized Powder for Infusion (IV),lyophilized powder for infusion iv,powder
Prefilled Syringe (Iv),prefilled syringe iv,syringe
Lyophilized mass for injection,lyophilized mass for injection,lyophilisate
Concentrate Solution for Infusion,concentrate solution for infusion,concentrate
Concentrate solution for infusion,concentrate solution for infusion,concentrate
Lozenge (Raspberry Flavor),lozenge raspberry flavor,lozenge
Dialysis Solution (Intraperitoneal),dialysis solution intraperitoneal,solution
"Concentrate Solution for IV Infusion 
(albumin-free Concentrate for Nanodispersion)",concentrate solution for iv infusion albumin-free concentrate for nanodispersion,concentrate
Concentrate Solution For Iv Infusion (formulated as albumin-bound nanoparticles),concentrate solution for iv infusion formulated as albumin-bound nanoparticles,concentrate
Sugar-coated Tablet,sugar-coated tablet,tablet
Solution for Injection (IV. Infusion/.IM),solution for injection iv infusion im,solution
Medicated Chewing Gum (Mint Flavor),medicated chewing gum mint flavor,gum
Syrup (Pediatric Drops) Grape Flavor,syrup pediatric drops grape flavor,syrup
Concentrate Solution for IV. Infusion,concentrate solution for iv infusion,concentrate
Solution for Infusion (IV/IM),solution for infusion iv im,solution
Emulsion For Intravenous ( IV Infusion),emulsion for intravenous iv infusion,emulsion
Lyophlized Powder for IV Infusion,lyophlized powder for iv infusion,powder
Effervescent Tablet (Mango Orange Tablet),effervescent tablet mango orange tablet,tablet
Vaginal Suppositories,vaginal suppositories,suppository
Dry Powder For Injection (IM/IV),dry powder for injection im iv,powder
Opthalmic Solution (eye Drops),opthalmic solution eye drops,solution
Prolonged-Release Hard Capsule,prolonged-release hard capsule,capsule
Prolonged-Release Suspension for Injection (IM),prolonged-release suspension for injection im,suspension
Solution for Injection  (IM/IV),solution for injection im iv,solution
Lozenge (Orange Flavor),lozenge orange flavor,lozenge
Lozenge (Honey Lemon Flavor),lozenge honey lemon flavor,lozenge
Solution for (IV) Injection,solution for iv injection,solution
Topical Emulsion Gel,topical emulsion gel,emulsion
Solution for Injection or Concentrate for Solution for Infusion (I.V./I.M.),solution for injection or concentrate for solution for infusion iv im,concentrate
Solution For Injection IV. Infusion,solution for injection iv infusion,solution
Powder For Concentrate For IV Infusion,powder for concentrate for iv infusion,powder
Suspension (Berry Flavor),suspension berry flavor,suspension
lotion,lotion,lotion
"Pressurized Metered Dose Inhaler 
(CFC Free)",pressurized metered dose inhaler cfc free,inhaler
Pressurized Metered Dose Inhaler,pressurized metered dose inhaler,inhaler
"Lyophilized Powder for Concentrate Solution 
for IV Infusion",lyophilized powder for concentrate solution for iv infusion,powder
Chewable Tablet (Mixed Berries Flavor),chewable tablet mixed berries flavor,tablet
Suspension ofr Nebulization,suspension ofr nebulization,suspension
Pre-metered Dose Dry Powder for  Inhalation,pre-metered dose dry powder for inhalation,powder
Liquid of Inhalation,liquid of inhalation,liquid
Lyophilized Powder for Injection IV Infusion,lyophilized powder for injection iv infusion,powder
Sterile Aqueous Suspension for Injection (IM),sterile aqueous suspension for injection im,suspension
Powder For Injection (I.V./ I. M.),powder for injection iv i m,powder
Suspension Nasal Spray,suspension nasal spray,suspension
Suspension for Nasal Spray,suspension for nasal spray,suspension
Extended Release Capsule,extended release capsule,capsule
Soft Capsule,soft capsule,capsule
Medicated Chewing Gum,medicated chewing gum,gum
Solution For Injection (I.M./1.V.),solution for injection im v,solution
Film-coated tablets,film-coated tablets,tablet
(Oral Drops) (Cherry Flavor),oral drops cherry flavor,drops
Lyophilized Powder For I.V  Infusion,lyophilized powder for iv infusion,powder
Lyophilized Powder For Reconstitution,lyophilized powder for reconstitution,powder
"Emulsion for Injection 
(I.V./Infusion)",emulsion for injection iv infusion,emulsion
Lyophilized Powder for Nanosomal Lipid Suspension for IV Infusion,lyophilized powder for nanosomal lipid suspension for iv infusion,powder
Syrup (Tutti-Frutti Flavor),syrup tutti-frutti flavor,syrup
Lozenge (Strawberry Flavor),lozenge strawberry flavor,lozenge
Lyophilized Powder Solution for IV Infusion,lyophilized powder solution for iv infusion,powder
"Pegylated Liposomal Concentrate 
Suspension for Solution for Injection for I.V. 
Infusion",pegylated liposomal concentrate suspension for solution for injection for iv infusion,concentrate
Solution for Infusion (IV) and Injection (IM/IV,solution for infusion iv and injection im iv,solution
"Concentrate Solution for 
Injection (IM/IV)",concentrate solution for injection im iv,concentrate
Oral Solution (Orange Flavor),oral solution orange flavor,solution
"100 mcg/6 mcg/12.5 mcg per actuation Metered Dose 
Inhaler",mcg mcg mcg per actuation metered dose inhaler,inhaler
"Nasal Suspension 
(Spray)",nasal suspension spray,suspension
Syrup (Lemon Flavor),syrup lemon flavor,syrup
Suspension (Oral Drops) (Orange Flavor),suspension oral drops orange flavor,suspension
Nasal Suspension,nasal suspension,suspension
"Pre 
metered Dose Dry Powder for Inhalation",pre metered dose dry powder for inhalation,powder
Emulsion Gel,emulsion gel,emulsion
Suspension (orange flavor),suspension orange flavor,suspension
Chewable Tablet (orange flavor),chewable tablet orange flavor,tablet
Capsule (Equivalent to 726.39mg Calcium Ascorbate),capsule equivalent to mg calcium ascorbate,capsule
Otic Solution(Ear Drops Solution),otic solutionear drops solution,solution
Oral Solution (Tutti Frutti Flavor),oral solution tutti frutti flavor,solution
Lyophilized Powder For Injection (IV/IM),lyophilized powder for injection iv im,powder
"Sterile Ophthalmic Solution 
(Drops)",sterile ophthalmic solution drops,solution
"Concentrate for Solution for 
Intravenous Infusion",concentrate for solution for intravenous infusion,concentrate
"Concentrate for Solution 
for Intravenous Infusion",concentrate for solution for intravenous infusion,concentrate
"Syrup (Oral Drops) 
(Cherry-Orange Flavor)",syrup oral drops cherry-orange flavor,syrup
TOPICAL CREAM,topical cream,cream
"Solution for Injection 
(I.M.)",solution for injection im,solution
Syrup (Banana Flavor),syrup banana flavor,syrup
Concentrate Solution For Intravenous Infusion,concentrate solution for intravenous infusion,concentrate
Lyophilized Powder For Injection (I.M./S.C.),lyophilized powder for injection im sc,powder
Pressurized Liquid for Inhalation,pressurized liquid for inhalation,liquid
"Lyophilized Powder for Concentrate for 
Solution for I.V. Infusion",lyophilized powder for concentrate for solution for iv infusion,powder
"Pressurized 
Liquid for Inhalation",pressurized liquid for inhalation,liquid
Solution for Peritoneal Dialysis,solution for peritoneal dialysis,solution
"Oral Suspension (Banana and Peppermint 
Flavor)",oral suspension banana and peppermint flavor,suspension
"Ophthalmic Solution (Eye 
Drops)",ophthalmic solution eye drops,solution
"Solution for Injection 
(I.V./I.M.)",solution for injection iv im,solution
"Solution 
for Injection (IV Infusion)",solution for injection iv infusion,solution
Suspension for Nebulization,suspension for nebulization,suspension
"Capsule* 
[*Rosuvastatin film-coated tablet enclosed in a hard 
gelatin capsule with the Clopidogrel powder blend]",capsule rosuvastatin film-coated tablet enclosed in a hard gelatin capsule with the clopidogrel powder blend,powder
"Solution 
for I.V. Infusion",solution for iv infusion,solution
Solution for Injection/Infusion (I.M./I.V.),solution for injection infusion im iv,solution
Lyophilized Powder For Solution For I.V Injection,lyophilized powder for solution for iv injection,powder
"Dipeptidyl peptidase 4 (DPP-4) inhibitor/ Oral 
Hypoglycemic (Biguanide)",dipeptidyl peptidase dpp- inhibitor oral hypoglycemic biguanide,
Sustained-Release Tablets,sustained-release tablets,suspension
Solution (Toothache Drops),solution toothache drops,solution
"Sterile Solution for 
1.V. Injection",sterile solution for v injection,solution
Plaster,plaster,plaster
Film-Coated Tablet (200 mg Daily Dose),film-coated tablet mg daily dose,tablet
Concentrate Solution for IV Infusion : Antineoplastic,concentrate solution for iv infusion antineoplastic,concentrate
Metered Dose Inhaler (200 Actuation),metered dose inhaler actuation,inhaler
Solution For Infusion (IV),solution for infusion iv,solution
Lozenges (Berry Menthol Flavor),lozenges berry menthol flavor,lozenge
Syrup (Oral Drops) (Orange Flavor),syrup oral drops orange flavor,syrup
Concentrate for Solution for I.V. Infusion,concentrate for solution for iv infusion,concentrate
"Lozenge (Orange Menthol 
Flavor)",lozenge orange menthol flavor,lozenge
Lozenges,lozenges,lozenge
"Suspension 
(Menthol Flavor)",suspension menthol flavor,suspension
Powder for Infusion (IV),powder for infusion iv,powder
Lyophilized Powder for Injection (IV/Intravesical),lyophilized powder for injection iv intravesical,powder
"Oral 
Solution (Drops) [Lemon and Peppermint Flavor]",oral solution drops lemon and peppermint flavor,solution
Film- Coated Tablets,film- coated tablets,tablet
Lozenge (Purple Grape Flavor),lozenge purple grape flavor,lozenge
Solution for I.V. Infusion (I. V.),solution for iv infusion i v,solution
Lyophilized Powder For I.V. Injection &amp; Infusion,lyophilized powder for iv injection amp infusion,powder
Granules for Solution (Orange Flavor),granules for solution orange flavor,solution
Syrup (Tuttii-Frutti Flavor),syrup tuttii-frutti flavor,syrup
Solution for Hemodialysis and Hemofiltration,solution for hemodialysis and hemofiltration,solution
"Solution for Injection 
(IV Infusion)",solution for injection iv infusion,solution
Powder for injection (IV),powder for injection iv,powder
Gastro-Resistant Tablet,gastro-resistant tablet,tablet
Lyophilized Powder For Injection (I.V Infusion),lyophilized powder for injection iv infusion,powder
"Solution for Injection (IV 
Infusion)",solution for injection iv infusion,solution
Lyophilized Powder for I.V. Injection,lyophilized powder for iv injection,powder
"Lyophilized Powder for Solution for I.V. 
Infusion",lyophilized powder for solution for iv infusion,powder
Tablet (Strawberry Flavor),tablet strawberry flavor,tablet
Peritoneal Dialysis Solution,peritoneal dialysis solution,solution
Lyophilized Powder for Intravenous Injection/ Infusion,lyophilized powder for intravenous injection infusion,powder
Lyophilization Powder For Injection (IM/IV),lyophilization powder for injection im iv,powder
"Lozenge (Honey Lemon 
Menthol Flavor)",lozenge honey lemon menthol flavor,lozenge
"Lozenge (Berry Menthol 
Flavor)",lozenge berry menthol flavor,lozenge
Lyophilized Powder for Injection (S.C./1.V.),lyophilized powder for injection sc v,powder
"Lyophilized Powder for Injection (1.V. 
Infusion)",lyophilized powder for injection v infusion,powder
Concentrate For Solution For Infusion,concentrate for solution for infusion,concentrate
"Dialysis Solution 
(Intraperitoneal)",dialysis solution intraperitoneal,solution
Solutiuon for Intravenous Infusion,solutiuon for intravenous infusion,
Suspension pressurized Metered Dose Inhaler,suspension pressurized metered dose inhaler,suspension
Solution Metered Dose Inhaler,solution metered dose inhaler,solution
Topical cream,topical cream,cream
Syrup (Blackcurrant Flavor),syrup blackcurrant flavor,syrup
Lyophilized Powder for Intravenous (I.V.) Infusion,lyophilized powder for intravenous iv infusion,powder
Lyophilized Powder for Injection (I.V./S.C.),lyophilized powder for injection iv sc,powder
"Solution for Injection (1. M./1.V.) or 
Concentrate for Solution for I. V. Infusion",solution for injection m v or concentrate for solution for i v infusion,concentrate
Lyophilized Powder For Injection (I.V/S.C),lyophilized powder for injection iv sc,powder
Dialysis Solution for Intraperitoneal,dialysis solution for intraperitoneal,solution
"Oral Solution 
(Ginger Lemon Flavor)",oral solution ginger lemon flavor,solution
"Solution for Injection/Infusion 
(I.M./I.V.)",solution for injection infusion im iv,solution
Lyophilized Powder for Solution for Injection or Infusion (IV),lyophilized powder for solution for injection or infusion iv,powder
Capsule [contains one (1) Film-Coated Tadalafil and Tamsulosin HCl pellets],capsule contains one film-coated tadalafil and tamsulosin hcl pellets,capsule
Oral Drops (Orange Flavor),oral drops orange flavor,drops
