original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Solution For Injection (Spinal),solution for injection spinal,solution,injection spinal,solution,,['spinal'],['injection']
Vaginal Supository,vaginal supository,vaginal supository,,supository,,[],[]
Soft Gel Capsule For Vaginal Use,soft gel capsule for vaginal use,soft gel capsule,vaginal use,capsule,,['vaginal'],[]
Dry Powder For Inhalation (In Capsule),dry powder for inhalation in capsule,dry powder,inhalation in capsule,powder,capsule,[],['inhalation']
Metered Dose Inhaler (suspension),metered dose inhaler suspension,metered dose inhaler suspension,,suspension,,[],[]
Ophthalmic/Otic Solution (Drops),ophthalmic otic solution drops,ophthalmic otic solution drops,,solution,,[],[]
Puff Solution for Inhalation,puff solution for inhalation,puff solution,inhalation,solution,,[],['inhalation']
Solution for IV Injection/Infusion,solution for iv injection infusion,solution,iv injection infusion,solution,,['iv'],"['injection', 'infusion']"
Solution For Intravenous  Infusion,solution for intravenous infusion,solution,intravenous infusion,solution,,['intravenous'],['infusion']
Powder for Injection (IV Infusion),powder for injection iv infusion,powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Solution For Injection (Im/Sc/Iv),solution for injection im sc iv,solution,injection im sc iv,solution,,"['im', 'sc', 'iv']",['injection']
Powder for Solution for Injection (IV/SC),powder for solution for injection iv sc,powder,solution for injection iv sc,powder,solution,"['sc', 'iv']",['injection']
Powder For Inj. (Iv/Im),powder for inj iv im,powder,inj iv im,powder,,"['im', 'iv']",['inj']
Solution For Injection (Iv/Im),solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
"Tablet, delayed release",tablet delayed release,tablet delayed release,,tablet,,[],[]
Cervical Gel,cervical gel,cervical gel,,gel,,[],[]
"Suspension, oral",suspension oral,suspension oral,,suspension,,[],[]
"Tablet, modified release",tablet modified release,tablet modified release,,tablet,,[],[]
"Tablet, enteric coated",tablet enteric coated,tablet enteric coated,,tablet,,[],[]
Lyophilized Powder for Injection (I.V. Infusion),lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Emulsion For Injection,emulsion for injection,emulsion,injection,emulsion,,[],['injection']
"Solution, ophthalmic (Eye Drops)",solution ophthalmic eye drops,solution ophthalmic eye drops,,solution,,[],[]
Lyophilized Powder For Concentrate For Solution For IV Infusion,lyophilized powder for concentrate for solution for iv infusion,lyophilized powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
Metered Dose Inhaler(CFC-FREE),metered dose inhalercfc-free,metered dose inhalercfc-free,,,,[],[]
solution for injection,solution for injection,solution,injection,solution,,[],['injection']
Solution for Injection (Intravenous/Intrathecal),solution for injection intravenous intrathecal,solution,injection intravenous intrathecal,solution,,"['intravenous', 'intrathecal']",['injection']
Solution for injection (Intravenous/Intraarterial),solution for injection intravenous intraarterial,solution,injection intravenous intraarterial,solution,,"['intravenous', 'intraarterial']",['injection']
Oral Soft-gel Capsule,oral soft-gel capsule,oral soft-gel capsule,,capsule,,[],[]
Vaginal Soft-gel Capsule,vaginal soft-gel capsule,vaginal soft-gel capsule,,capsule,,[],[]
Vaginal Soft-Gel Capsule,vaginal soft-gel capsule,vaginal soft-gel capsule,,capsule,,[],[]
Powder For Solution For Injection (Iv),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Pre-metered Dose Dry Powder for Inhalation,pre-metered dose dry powder for inhalation,pre-metered dose dry powder,inhalation,powder,,[],['inhalation']
Suppository (Pediatric),suppository pediatric,suppository pediatric,,suppository,,[],[]
Oral Jelly,oral jelly,oral jelly,,jelly,,[],[]
Powder For Inj.,powder for inj,powder,inj,powder,,[],['inj']
Powder for Suspension for Injection (SC),powder for suspension for injection sc,powder,suspension for injection sc,powder,suspension,['sc'],"['injection', 'suspension']"
Solution for Injection (Oromucosal),solution for injection oromucosal,solution,injection oromucosal,solution,,['oromucosal'],['injection']
Solution For Injection (Oromucosal),solution for injection oromucosal,solution,injection oromucosal,solution,,['oromucosal'],['injection']
Enteric-coated tablet,enteric-coated tablet,enteric-coated tablet,,tablet,,[],[]
Gargle,gargle,gargle,,gargle,,[],[]
Vaginal Softgel Capsule,vaginal softgel capsule,vaginal softgel capsule,,capsule,,[],[]
chewable tablet,chewable tablet,chewable tablet,,tablet,,[],[]
Solution For Injection (Intravenous Infusion),solution for injection intravenous infusion,solution,injection intravenous infusion,solution,,['intravenous'],"['injection', 'infusion']"
Solution for Injection (I.M./I.V./S.C.),solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Powder For Solution For Injection (IM/IV),powder for solution for injection im iv,powder,solution for injection im iv,powder,solution,"['im', 'iv']",['injection']
Lyophilized powder for IV/IM injection,lyophilized powder for iv im injection,lyophilized powder,iv im injection,powder,,"['im', 'iv']",['injection']
Lyophilized Powder for Injection/Infusion (I.V.),lyophilized powder for injection infusion iv,lyophilized powder,injection infusion iv,powder,,['iv'],"['injection', 'infusion']"
Solution Metered Dose Nasal Spray,solution metered dose nasal spray,solution metered dose nasal spray,,solution,,[],[]
Film-Coated Tablet (eq. to sacubitril 24.3 mg and valsartan 25.7 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,,tablet,,[],[]
Film-Coated Tablet (eq. to sacubitril 48.6 mg and valsartan 51.4 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,,tablet,,[],[]
Film-Coated Tablet (eq. to sacubitril 97.2 mg and valsartan 102.8 mg sodium salt complex),film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,film-coated tablet eq to sacubitril mg and valsartan mg sodium salt complex,,tablet,,[],[]
Solution for Injection(IM/IV),solution for injectionim iv,solution,injectionim iv,solution,,['iv'],[]
Nasal Drops,nasal drops,nasal drops,,drops,,[],[]
Lyophilized Powder for Injection (for I.V. Infusion),lyophilized powder for injection for iv infusion,lyophilized powder,injection for iv infusion,powder,,['iv'],"['injection', 'infusion']"
Enteric coated Tablet,enteric coated tablet,enteric coated tablet,,tablet,,[],[]
Prolonged-Release Solution for Injection (Deep S.C.),prolonged-release solution for injection deep sc,prolonged-release solution,injection deep sc,solution,,['sc'],['injection']
Conc. For Sol For injection Iv,conc for sol for injection iv,conc,sol for injection iv,conc,sol,['iv'],['injection']
Solution for (Intravascular/Intra-arterial) Injection (equivalent to 350 mg Iodine/mL),solution for intravascular intra-arterial injection equivalent to mg iodine ml,solution,intravascular intra-arterial injection equivalent to mg iodine ml,solution,,"['intra-arterial', 'intravascular', 'arterial']",['injection']
Lyophilzed Powder for Injection (IM/IV/SC),lyophilzed powder for injection im iv sc,lyophilzed powder,injection im iv sc,powder,,"['im', 'sc', 'iv']",['injection']
Solution for injection (Intravenous/Intra-arterial/Intrathecal),solution for injection intravenous intra-arterial intrathecal,solution,injection intravenous intra-arterial intrathecal,solution,,"['intravenous', 'intrathecal', 'arterial', 'intra-arterial']",['injection']
Effervecsent Tablet,effervecsent tablet,effervecsent tablet,,tablet,,[],[]
Rectal Solution,rectal solution,rectal solution,,solution,,[],[]
Solution For IV Solution,solution for iv solution,solution,iv solution,solution,solution,['iv'],[]
Oral suspension,oral suspension,oral suspension,,suspension,,[],[]
Solution for Injection (I.M. / I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Powder for Concentrate for Solution for I.V. Infusion,powder for concentrate for solution for iv infusion,powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
Concentrate for Oral/Rectal Suspension,concentrate for oral rectal suspension,concentrate,oral rectal suspension,concentrate,suspension,"['oral', 'rectal']",['suspension']
Solution For Infusion (IV Infusion),solution for infusion iv infusion,solution,infusion iv infusion,solution,,['iv'],['infusion']
Lyophilized Powder For Concentrate For Solution For Iv Infusion,lyophilized powder for concentrate for solution for iv infusion,lyophilized powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
Lyophilized Powder for Oral Suspension,lyophilized powder for oral suspension,lyophilized powder,oral suspension,powder,suspension,['oral'],['suspension']
Concentrate Solution For Injection (Iv),concentrate solution for injection iv,concentrate solution,injection iv,concentrate,,['iv'],['injection']
Powder for Solution for Injection (IM/IV),powder for solution for injection im iv,powder,solution for injection im iv,powder,solution,"['im', 'iv']",['injection']
Otic Solution (Ear Drops),otic solution ear drops,otic solution ear drops,,solution,,[],[]
Powder for Solution for Injection (IV),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Lyophilized Powder for Injection (I.V),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Powder For Injection (I.M/I.V),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Extended-Release Capsule,extended-release capsule,extended-release capsule,,capsule,,[],[]
Opthalmic Solution (Eye Drops),opthalmic solution eye drops,opthalmic solution eye drops,,solution,,[],[]
Nasal Spray Suspension,nasal spray suspension,nasal spray suspension,,suspension,,[],[]
Solution for Injection (IM/SC/IV),solution for injection im sc iv,solution,injection im sc iv,solution,,"['im', 'sc', 'iv']",['injection']
Ophthalmic Sterile Suspension (Eye Drops),ophthalmic sterile suspension eye drops,ophthalmic sterile suspension eye drops,,suspension,,[],[]
"Solution for Injection 
(IM/IV)",solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution for Injection (I.M./I.v.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Lyophilized Powder for Intravenous Infusion,lyophilized powder for intravenous infusion,lyophilized powder,intravenous infusion,powder,,['intravenous'],['infusion']
Orally Disintegrating Tablet,orally disintegrating tablet,orally disintegrating tablet,,tablet,,[],[]
Gel for Instillation,gel for instillation,gel,instillation,gel,,[],['instillation']
Solution for (Intrathecal/Intravascular) Injection,solution for intrathecal intravascular injection,solution,intrathecal intravascular injection,solution,,"['intravascular', 'intrathecal']",['injection']
Granules for Nasal Irrigation,granules for nasal irrigation,granules,nasal irrigation,granules,,['nasal'],[]
Delayed-Release Granules,delayed-release granules,delayed-release granules,,granules,,[],[]
Powder For Solution For Iv Infusion,powder for solution for iv infusion,powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Rectal Suspension,rectal suspension,rectal suspension,,suspension,,[],[]
Oral Jelly (Orange Flavor),oral jelly orange flavor,oral jelly orange flavor,,jelly,,[],[]
Actuation Powder for Inhalation,actuation powder for inhalation,actuation powder,inhalation,powder,,[],['inhalation']
Powder For Solution For Injection (IV),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Lyophilized Powder for Solution for IV Infusion,lyophilized powder for solution for iv infusion,lyophilized powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Effervescent Tablet (Orange Flavor),effervescent tablet orange flavor,effervescent tablet orange flavor,,tablet,,[],[]
Oral Suspension (Orange Flavor),oral suspension orange flavor,oral suspension orange flavor,,suspension,,[],[]
Lyophilized Powder for IV Injection/Infusion,lyophilized powder for iv injection infusion,lyophilized powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
"Solution for Oral 
Inhalation",solution for oral inhalation,solution,oral inhalation,solution,,['oral'],['inhalation']
"Syrup (Pediatric) (Strawberry-Cherry 
Flavor)",syrup pediatric strawberry-cherry flavor,syrup pediatric strawberry-cherry flavor,,syrup,,[],[]
"Inhalation Aerosol 
(Pressurized Suspension for Inhalation)",inhalation aerosol pressurized suspension for inhalation,inhalation aerosol pressurized suspension,inhalation,suspension,,[],['inhalation']
Lyophilized Powder for Solution for Injection (IV Infusion),lyophilized powder for solution for injection iv infusion,lyophilized powder,solution for injection iv infusion,powder,solution,['iv'],"['injection', 'infusion']"
Lyophilized Powder for Concentrate for Solution for I.V. Infusion,lyophilized powder for concentrate for solution for iv infusion,lyophilized powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
Suspension for Injection (Intra-articular/Intradermal),suspension for injection intra-articular intradermal,suspension,injection intra-articular intradermal,suspension,,"['intradermal', 'intra-articular']",['injection']
Powder for IV Injection,powder for iv injection,powder,iv injection,powder,,['iv'],['injection']
Powder for Solution for Infusion,powder for solution for infusion,powder,solution for infusion,powder,solution,[],['infusion']
Concentrated Solution for I.V. Infusion,concentrated solution for iv infusion,concentrated solution,iv infusion,solution,,['iv'],['infusion']
per Capsule,per capsule,per capsule,,capsule,,[],[]
Metered Dose Inhaler (CFC Free) (200 doses),metered dose inhaler cfc free doses,metered dose inhaler cfc free doses,,inhaler,,[],[]
Powder Solution for IV Injection,powder solution for iv injection,powder solution,iv injection,powder,,['iv'],['injection']
Oral Syrup,oral syrup,oral syrup,,syrup,,[],[]
Metered Dose Inhaler (CFC Free) (120 doses),metered dose inhaler cfc free doses,metered dose inhaler cfc free doses,,inhaler,,[],[]
Suspension Metered Dose Inhaler,suspension metered dose inhaler,suspension metered dose inhaler,,suspension,,[],[]
Emulsion for I.V. Infusion,emulsion for iv infusion,emulsion,iv infusion,emulsion,,['iv'],['infusion']
Powder for Injection (IV/IM),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Powder for Solution for Injection (Intrathecal IM / IV),powder for solution for injection intrathecal im iv,powder,solution for injection intrathecal im iv,powder,solution,"['im', 'intrathecal', 'iv']",['injection']
Vaginal Film-Coated Tablet,vaginal film-coated tablet,vaginal film-coated tablet,,tablet,,[],[]
powder for injection,powder for injection,powder,injection,powder,,[],['injection']
Lozenge (Honey and Lemon Flavor),lozenge honey and lemon flavor,lozenge honey and lemon flavor,,lozenge,,[],[]
Topical Aerosol Spray Solution,topical aerosol spray solution,topical aerosol spray solution,,solution,,[],[]
Topical solution,topical solution,topical solution,,solution,,[],[]
Concentrate Solution fro Infusion,concentrate solution fro infusion,concentrate solution fro infusion,,concentrate,,[],[]
Solution for Injection (Spinal),solution for injection spinal,solution,injection spinal,solution,,['spinal'],['injection']
ORAL SUSPENSION,oral suspension,oral suspension,,suspension,,[],[]
Concentrate Solution for Infusion (IV),concentrate solution for infusion iv,concentrate solution,infusion iv,concentrate,,['iv'],['infusion']
Lyophilized Powder for Extended-Release  Suspension for Injection in Pre-filled Dual Chamber Syringe (IM),lyophilized powder for extended-release suspension for injection in pre-filled dual chamber syringe im,lyophilized powder,extended-release suspension for injection in pre-filled dual chamber syringe im,powder,suspension,"['im', 'dual']","['injection', 'suspension']"
Suspension (Shampoo),suspension shampoo,suspension shampoo,,suspension,,[],[]
Powder for Solution for Injection (IV/IM),powder for solution for injection iv im,powder,solution for injection iv im,powder,solution,"['im', 'iv']",['injection']
Solution for inhalation,solution for inhalation,solution,inhalation,solution,,[],['inhalation']
Powder and Solvent for Suspension for Injection (IM),powder and solvent for suspension for injection im,powder and solvent,suspension for injection im,powder,suspension,['im'],"['injection', 'suspension']"
Concentrate for Solution for Injection,concentrate for solution for injection,concentrate,solution for injection,concentrate,solution,[],['injection']
Powder for Solution for Injection/Infusion (IV),powder for solution for injection infusion iv,powder,solution for injection infusion iv,powder,solution,['iv'],"['injection', 'infusion']"
Powder for Solution for Injection / Infusion,powder for solution for injection infusion,powder,solution for injection infusion,powder,solution,[],"['injection', 'infusion']"
Vaginal Cream,vaginal cream,vaginal cream,,cream,,[],[]
Concentrate For Injection (IV/Intravesical),concentrate for injection iv intravesical,concentrate,injection iv intravesical,concentrate,,"['intravesical', 'iv']",['injection']
Ophthalmic emulsion,ophthalmic emulsion,ophthalmic emulsion,,emulsion,,[],[]
Solution for Injection/Infusion (IV),solution for injection infusion iv,solution,injection infusion iv,solution,,['iv'],"['injection', 'infusion']"
Timed-Release Tablet,timed-release tablet,timed-release tablet,,tablet,,[],[]
Emulsion for Injection/Infusion (IV),emulsion for injection infusion iv,emulsion,injection infusion iv,emulsion,,['iv'],"['injection', 'infusion']"
"Actuation Metered Dose Inhaler 
(CFC Free) (200 doses)",actuation metered dose inhaler cfc free doses,actuation metered dose inhaler cfc free doses,,inhaler,,[],[]
Suspension for Injection (I.V.),suspension for injection iv,suspension,injection iv,suspension,,['iv'],['injection']
Prefilled Syringe Injection (IM/IV),prefilled syringe injection im iv,prefilled syringe injection im iv,,,,[],[]
Lyophilized Powder For Solution For Injection (Sc/Iv),lyophilized powder for solution for injection sc iv,lyophilized powder,solution for injection sc iv,powder,solution,"['sc', 'iv']",['injection']
"Sterile Ophthalmic Solution 
(Eye Drops)",sterile ophthalmic solution eye drops,sterile ophthalmic solution eye drops,,solution,,[],[]
Syrup (Plum-flavored),syrup plum-flavored,syrup plum-flavored,,syrup,,[],[]
Powder For Suspension ( Oral Drops),powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
Soft-Gel Capsule,soft-gel capsule,soft-gel capsule,,capsule,,[],[]
liquid injection,liquid injection,liquid injection,,liquid,,[],[]
Solution for Haemofiltration,solution for haemofiltration,solution,haemofiltration,solution,,[],[]
Monitored Release Tablet,monitored release tablet,monitored release tablet,,tablet,,[],[]
Liposomal Concentrate,liposomal concentrate,liposomal concentrate,,concentrate,,[],[]
Sterile Ophthalmic Ointment : Anti-infective / Corticosteroid,sterile ophthalmic ointment anti-infective corticosteroid,sterile ophthalmic ointment anti-infective corticosteroid,,ointment,,[],[]
Sterile Ophthalmic Solution (Eye Drops,sterile ophthalmic solution eye drops,sterile ophthalmic solution eye drops,,solution,,[],[]
Solution for Nasal Spray,solution for nasal spray,solution,nasal spray,solution,spray,['nasal'],[]
Sterile Solution for IV Injection,sterile solution for iv injection,sterile solution,iv injection,solution,,['iv'],['injection']
Solution For Inj,solution for inj,solution,inj,solution,,[],['inj']
STERILE EYE DROPS,sterile eye drops,sterile eye drops,,drops,,[],[]
Solution for Nebulization,solution for nebulization,solution,nebulization,solution,,[],['nebulization']
Solution for Infusion I.V.,solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Syrup (Berry Flavor),syrup berry flavor,syrup berry flavor,,syrup,,[],[]
Syrup (Melon Flavor),syrup melon flavor,syrup melon flavor,,syrup,,[],[]
Powder For Injection Im/Iv,powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Topical Spray,topical spray,topical spray,,spray,,[],[]
Monitored-Release Film-Coated Tablet,monitored-release film-coated tablet,monitored-release film-coated tablet,,tablet,,[],[]
INJECTION,injection,injection,,,,[],[]
Concentrate Solution for Injection for Intravenous Infusion,concentrate solution for injection for intravenous infusion,concentrate solution,injection for intravenous infusion,concentrate,,['intravenous'],"['injection', 'infusion']"
Film-coated Tablet /,film-coated tablet,film-coated tablet,,tablet,,[],[]
Lyophilized Powder For Infusion (Iv),lyophilized powder for infusion iv,lyophilized powder,infusion iv,powder,,['iv'],['infusion']
Injection Solution For Iv Infusion,injection solution for iv infusion,injection solution,iv infusion,solution,,['iv'],['infusion']
,[],,,,,[],[]
Pediatric Drops,pediatric drops,pediatric drops,,drops,,[],[]
Solution for haemofiltration,solution for haemofiltration,solution,haemofiltration,solution,,[],[]
Chewable Tablet (Orange Flavor),chewable tablet orange flavor,chewable tablet orange flavor,,tablet,,[],[]
"Chewable Tablet 
(Tutti Fruitti Flavor)",chewable tablet tutti fruitti flavor,chewable tablet tutti fruitti flavor,,tablet,,[],[]
Saline Solution For Nasal Spray,saline solution for nasal spray,saline solution,nasal spray,solution,spray,['nasal'],[]
Film Coated Tablet; Film Coated Tablet,film coated tablet film coated tablet,film coated tablet film coated tablet,,tablet,,[],[]
Powder For Injection for I.V. Infusion,powder for injection for iv infusion,powder,injection for iv infusion,powder,,['iv'],"['injection', 'infusion']"
Lyophilized Powder for Infusion (IV),lyophilized powder for infusion iv,lyophilized powder,infusion iv,powder,,['iv'],['infusion']
Prefilled Syringe (Iv),prefilled syringe iv,prefilled syringe iv,,,,[],[]
Lyophilized mass for injection,lyophilized mass for injection,lyophilized mass,injection,mass,,[],['injection']
Concentrate Solution for Infusion,concentrate solution for infusion,concentrate solution,infusion,concentrate,,[],['infusion']
Concentrate solution for infusion,concentrate solution for infusion,concentrate solution,infusion,concentrate,,[],['infusion']
Lozenge (Raspberry Flavor),lozenge raspberry flavor,lozenge raspberry flavor,,lozenge,,[],[]
Dialysis Solution (Intraperitoneal),dialysis solution intraperitoneal,dialysis solution intraperitoneal,,solution,,[],[]
"Concentrate Solution for IV Infusion 
(albumin-free Concentrate for Nanodispersion)",concentrate solution for iv infusion albumin-free concentrate for nanodispersion,concentrate solution,iv infusion albumin-free concentrate for nanodispersion,concentrate,concentrate,['iv'],['infusion']
Concentrate Solution For Iv Infusion (formulated as albumin-bound nanoparticles),concentrate solution for iv infusion formulated as albumin-bound nanoparticles,concentrate solution,iv infusion formulated as albumin-bound nanoparticles,concentrate,,['iv'],['infusion']
Sugar-coated Tablet,sugar-coated tablet,sugar-coated tablet,,tablet,,[],[]
Solution for Injection (IV. Infusion/.IM),solution for injection iv infusion im,solution,injection iv infusion im,solution,,"['im', 'iv']","['injection', 'infusion']"
Medicated Chewing Gum (Mint Flavor),medicated chewing gum mint flavor,medicated chewing gum mint flavor,,gum,,[],[]
Syrup (Pediatric Drops) Grape Flavor,syrup pediatric drops grape flavor,syrup pediatric drops grape flavor,,syrup,,[],[]
Concentrate Solution for IV. Infusion,concentrate solution for iv infusion,concentrate solution,iv infusion,concentrate,,['iv'],['infusion']
Solution for Infusion (IV/IM),solution for infusion iv im,solution,infusion iv im,solution,,"['im', 'iv']",['infusion']
Emulsion For Intravenous ( IV Infusion),emulsion for intravenous iv infusion,emulsion,intravenous iv infusion,emulsion,,"['intravenous', 'iv']",['infusion']
Lyophlized Powder for IV Infusion,lyophlized powder for iv infusion,lyophlized powder,iv infusion,powder,,['iv'],['infusion']
Effervescent Tablet (Mango Orange Tablet),effervescent tablet mango orange tablet,effervescent tablet mango orange tablet,,tablet,,[],[]
Vaginal Suppositories,vaginal suppositories,vaginal suppositories,,suppositories,,[],[]
Dry Powder For Injection (IM/IV),dry powder for injection im iv,dry powder,injection im iv,powder,,"['im', 'iv']",['injection']
Opthalmic Solution (eye Drops),opthalmic solution eye drops,opthalmic solution eye drops,,solution,,[],[]
Prolonged-Release Hard Capsule,prolonged-release hard capsule,prolonged-release hard capsule,,capsule,,[],[]
Prolonged-Release Suspension for Injection (IM),prolonged-release suspension for injection im,prolonged-release suspension,injection im,suspension,,['im'],['injection']
Solution for Injection  (IM/IV),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Lozenge (Orange Flavor),lozenge orange flavor,lozenge orange flavor,,lozenge,,[],[]
Lozenge (Honey Lemon Flavor),lozenge honey lemon flavor,lozenge honey lemon flavor,,lozenge,,[],[]
Solution for (IV) Injection,solution for iv injection,solution,iv injection,solution,,['iv'],['injection']
Topical Emulsion Gel,topical emulsion gel,topical emulsion gel,,emulsion,,[],[]
Solution for Injection or Concentrate for Solution for Infusion (I.V./I.M.),solution for injection or concentrate for solution for infusion iv im,solution,injection or concentrate for solution for infusion iv im,solution,concentrate,"['im', 'iv']","['injection', 'infusion']"
Solution For Injection IV. Infusion,solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Powder For Concentrate For IV Infusion,powder for concentrate for iv infusion,powder,concentrate for iv infusion,powder,concentrate,['iv'],['infusion']
Suspension (Berry Flavor),suspension berry flavor,suspension berry flavor,,suspension,,[],[]
lotion,lotion,lotion,,lotion,,[],[]
"Pressurized Metered Dose Inhaler 
(CFC Free)",pressurized metered dose inhaler cfc free,pressurized metered dose inhaler cfc free,,inhaler,,[],[]
Pressurized Metered Dose Inhaler,pressurized metered dose inhaler,pressurized metered dose inhaler,,inhaler,,[],[]
"Lyophilized Powder for Concentrate Solution 
for IV Infusion",lyophilized powder for concentrate solution for iv infusion,lyophilized powder,concentrate solution for iv infusion,powder,concentrate,['iv'],['infusion']
Chewable Tablet (Mixed Berries Flavor),chewable tablet mixed berries flavor,chewable tablet mixed berries flavor,,tablet,,[],[]
Suspension ofr Nebulization,suspension ofr nebulization,suspension ofr nebulization,,suspension,,[],[]
Pre-metered Dose Dry Powder for  Inhalation,pre-metered dose dry powder for inhalation,pre-metered dose dry powder,inhalation,powder,,[],['inhalation']
Liquid of Inhalation,liquid of inhalation,liquid of inhalation,,liquid,,[],[]
Lyophilized Powder for Injection IV Infusion,lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Sterile Aqueous Suspension for Injection (IM),sterile aqueous suspension for injection im,sterile aqueous suspension,injection im,suspension,,['im'],['injection']
Powder For Injection (I.V./ I. M.),powder for injection iv i m,powder,injection iv i m,powder,,['iv'],['injection']
Suspension Nasal Spray,suspension nasal spray,suspension nasal spray,,suspension,,[],[]
Suspension for Nasal Spray,suspension for nasal spray,suspension,nasal spray,suspension,spray,['nasal'],[]
Extended Release Capsule,extended release capsule,extended release capsule,,capsule,,[],[]
Soft Capsule,soft capsule,soft capsule,,capsule,,[],[]
Medicated Chewing Gum,medicated chewing gum,medicated chewing gum,,gum,,[],[]
Solution For Injection (I.M./1.V.),solution for injection im v,solution,injection im v,solution,,['im'],['injection']
Film-coated tablets,film-coated tablets,film-coated tablets,,tablets,,[],[]
(Oral Drops) (Cherry Flavor),oral drops cherry flavor,oral drops cherry flavor,,drops,,[],[]
Lyophilized Powder For I.V  Infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Lyophilized Powder For Reconstitution,lyophilized powder for reconstitution,lyophilized powder,reconstitution,powder,,['reconstitution'],[]
"Emulsion for Injection 
(I.V./Infusion)",emulsion for injection iv infusion,emulsion,injection iv infusion,emulsion,,['iv'],"['injection', 'infusion']"
Lyophilized Powder for Nanosomal Lipid Suspension for IV Infusion,lyophilized powder for nanosomal lipid suspension for iv infusion,lyophilized powder,nanosomal lipid suspension for iv infusion,powder,suspension,"['nanosomal', 'iv']","['infusion', 'suspension']"
Syrup (Tutti-Frutti Flavor),syrup tutti-frutti flavor,syrup tutti-frutti flavor,,syrup,,[],[]
Lozenge (Strawberry Flavor),lozenge strawberry flavor,lozenge strawberry flavor,,lozenge,,[],[]
Lyophilized Powder Solution for IV Infusion,lyophilized powder solution for iv infusion,lyophilized powder solution,iv infusion,powder,,['iv'],['infusion']
"Pegylated Liposomal Concentrate 
Suspension for Solution for Injection for I.V. 
Infusion",pegylated liposomal concentrate suspension for solution for injection for iv infusion,pegylated liposomal concentrate suspension,solution for injection for iv infusion,suspension,solution,['iv'],"['injection', 'infusion']"
Solution for Infusion (IV) and Injection (IM/IV,solution for infusion iv and injection im iv,solution,infusion iv and injection im iv,solution,,"['im', 'iv']","['injection', 'infusion']"
"Concentrate Solution for 
Injection (IM/IV)",concentrate solution for injection im iv,concentrate solution,injection im iv,concentrate,,"['im', 'iv']",['injection']
Oral Solution (Orange Flavor),oral solution orange flavor,oral solution orange flavor,,solution,,[],[]
"100 mcg/6 mcg/12.5 mcg per actuation Metered Dose 
Inhaler",mcg mcg mcg per actuation metered dose inhaler,mcg mcg mcg per actuation metered dose inhaler,,inhaler,,[],[]
"Nasal Suspension 
(Spray)",nasal suspension spray,nasal suspension spray,,suspension,,[],[]
Syrup (Lemon Flavor),syrup lemon flavor,syrup lemon flavor,,syrup,,[],[]
Suspension (Oral Drops) (Orange Flavor),suspension oral drops orange flavor,suspension oral drops orange flavor,,suspension,,[],[]
Nasal Suspension,nasal suspension,nasal suspension,,suspension,,[],[]
"Pre 
metered Dose Dry Powder for Inhalation",pre metered dose dry powder for inhalation,pre metered dose dry powder,inhalation,powder,,[],['inhalation']
Emulsion Gel,emulsion gel,emulsion gel,,emulsion,,[],[]
Suspension (orange flavor),suspension orange flavor,suspension orange flavor,,suspension,,[],[]
